Folder 0
0.0: 0.11907125264406204: 8.895285729775967
0.0: 0.1169745996594429: 28.099660384118362
0.0: 0.18400898575782776: 17.761867439598028
0.0: 0.04936392232775688: 9.163624669500996
0.0: 0.1984936147928238: 13.930837216657725
0.0: 0.03759821131825447: 12.579714554058226
0.0: 0.4514341354370117: 32.342331839875634
0.0: 0.2867799699306488: 23.019498242118306
0.0: 0.16633249819278717: 18.362871539160054
0.0: 0.06738927960395813: 22.478006388281226
0.0: 0.029550813138484955: 22.360729547389283
0.0: 0.19492197036743164: 44.27702399567564
0.0: 0.13205622136592865: 9.67755268380418
0.0: 0.0647544339299202: 48.68097291412703
0.0: 0.4777907729148865: 9.166787108311773
0.0: 0.2139744907617569: 24.61465475753917
0.0: 0.2572384774684906: 5.755622584592869
0.0: 0.11975440382957458: 31.29067323308199
0.0: 0.17863142490386963: 30.23130261046753
0.0: 0.3468955457210541: 20.58286670538439
0.0: 0.25043633580207825: 45.8879922270162
0.0: 0.1284502148628235: 25.250234878791147
0.0: 0.14062832295894623: 24.15501927543484
0.0: 0.2259804606437683: 34.94326142181393
0.0: 0.02309100702404976: 36.412648184347326
0.0: 0.1286618858575821: 25.96638968066573
0.0: 0.06408482044935226: 47.431219290735825
0.0: 0.1034708246588707: 13.581245885386027
0.0: 0.10657421499490738: 24.448693824793352
0.0: 0.03160672262310982: 34.67776721741773
0.0: 0.17108331620693207: 11.7822601484267
0.0: 0.07925864309072495: 35.77076924078252
0.0: 0.08863276988267899: 8.888869798117899
0.0: 0.17671334743499756: 25.539676321375733
0.0: 0.24316440522670746: 26.50338154586092
0.0: 0.12178164720535278: 32.33627068237453
0.0: 0.1967185139656067: 13.245567754465899
0.0: 0.193865105509758: 31.71290599440775
0.0: 0.37280914187431335: 8.155925511429537
0.0: 0.11891540139913559: 8.609587653453907
0.0: 0.1870242953300476: 27.164540555281388
0.0: 0.13112898170948029: 28.61685918708419
0.0: 0.09642540663480759: 43.629404279299365
0.0: 0.09291580319404602: 30.25485013903769
0.0: 0.09637457132339478: 24.306299295086163
0.0: 0.31471696496009827: 12.763407235522864
0.0: 0.11867550015449524: 33.67491976547125
0.0: 0.08469188958406448: 7.191117663473016
0.0: 0.19544334709644318: 8.384695459589198
0.0: 0.12338806688785553: 1.1652313440194224
0.0: 0.052640896290540695: 18.39271949900264
0.0: 0.05739134922623634: 9.31410931683866
0.0: 0.12254246324300766: 69.83224498030968
0.0: 0.11114799976348877: 48.396749070203036
0.0: 0.0625191405415535: 14.912817813511827
0.0: 0.2532147169113159: 21.672289987914716
0.0: 0.12728054821491241: 10.63760802375595
0.0: 0.1309432089328766: 12.927558132412155
0.0: 0.2636820673942566: 14.149266417843027
0.0: 0.1489795297384262: 16.14041176576821
0.0: 0.11342830955982208: 8.878812653691893
0.0: 0.08862876147031784: 18.5033836736721
0.0: 0.05114967003464699: 40.63892670945251
0.0: 0.030283713713288307: 13.598414979701033
0.0: 0.12540438771247864: 18.17731284908557
0.0: 0.1366283893585205: 63.982961793607615
0.0: 0.12190563976764679: 13.127339720925205
0.0: 0.052517328411340714: 8.315588863566555
0.0: 0.016406649723649025: 31.932883927486955
0.0: 0.16871187090873718: 18.57793149560468
0.0: 0.11987227201461792: 7.865477564334045
0.0: 0.33302024006843567: 32.81695847196552
0.0: 0.1580294519662857: 8.35096514524706
0.0: 0.041927650570869446: 37.062493315305375
0.0: 0.14792822301387787: 16.70425703853298
0.0: 0.1632588654756546: 38.83691003247828
0.0: 0.09731145948171616: 29.382358052723784
0.0: 0.047893550246953964: 53.292238263199216
0.0: 0.05408508703112602: 22.5949643403168
0.0: 0.09272298961877823: 25.53235563623085
0.0: 0.17753727734088898: 17.292178483100162
0.0: 0.06058570742607117: 9.107232499145988
0.0: 0.02859639935195446: 20.190095701808364
0.0: 0.11303741484880447: 14.996760026756046
0.0: 0.07915935665369034: 29.374364877269567
0.0: 0.03349629417061806: 6.598530566013702
0.0: 0.09264066815376282: 10.865442288517132
0.0: 0.04841512069106102: 33.75866350924835
0.0: 0.1755548119544983: 14.563785890863814
0.0: 0.09285328537225723: 24.78571952803739
0.0: 0.2876434326171875: 19.41550178255399
0.0: 0.07256054878234863: 22.858087717661448
0.0: 0.04159073904156685: 22.237436971040587
0.0: 0.04785716161131859: 31.744428779392425
0.0: 0.1319066733121872: 6.3688837431459175
0.0: 0.06663783639669418: 32.996746314007005
0.0: 0.13374027609825134: 16.784061339417757
0.0: 0.17219434678554535: 17.031805157493206
0.0: 0.1556033343076706: 26.87379923167996
0.0: 0.07692456990480423: 12.01094582490117
1.0: 0.09874122589826584: 8.895285729775967
1.0: 0.8831883072853088: 28.099660384118362
1.0: 0.8561013340950012: 17.761867439598028
1.0: 0.1259518712759018: 9.163624669500996
1.0: 0.3528437614440918: 13.930837216657725
1.0: 0.5414453744888306: 12.579714554058226
1.0: 0.8904070854187012: 32.342331839875634
1.0: 0.9276275038719177: 23.019498242118306
1.0: 0.272081583738327: 18.362871539160054
1.0: 0.10848163813352585: 22.478006388281226
1.0: 0.8890101313591003: 22.360729547389283
1.0: 0.8151846528053284: 44.27702399567564
1.0: 0.34023985266685486: 9.67755268380418
1.0: 0.961194634437561: 48.68097291412703
1.0: 0.21549461781978607: 9.166787108311773
1.0: 0.6614108085632324: 24.61465475753917
1.0: 0.15956886112689972: 5.755622584592869
1.0: 0.6520401835441589: 31.29067323308199
1.0: 0.1692706197500229: 30.23130261046753
1.0: 0.1285078525543213: 20.58286670538439
1.0: 0.8728026151657104: 45.8879922270162
1.0: 0.220757395029068: 25.250234878791147
1.0: 0.5159328579902649: 24.15501927543484
1.0: 0.9057658314704895: 34.94326142181393
1.0: 0.9159126877784729: 36.412648184347326
1.0: 0.5008813738822937: 25.96638968066573
1.0: 0.905001163482666: 47.431219290735825
1.0: 0.9194599986076355: 13.581245885386027
1.0: 0.19734638929367065: 24.448693824793352
1.0: 0.769913375377655: 34.67776721741773
1.0: 0.13093003630638123: 11.7822601484267
1.0: 0.9105318784713745: 35.77076924078252
1.0: 0.4802590608596802: 8.888869798117899
1.0: 0.6318755745887756: 25.539676321375733
1.0: 0.34837254881858826: 26.50338154586092
1.0: 0.9432732462882996: 32.33627068237453
1.0: 0.05019281059503555: 13.245567754465899
1.0: 0.9801008701324463: 31.71290599440775
1.0: 0.13439032435417175: 8.155925511429537
1.0: 0.05699082463979721: 8.609587653453907
1.0: 0.730859637260437: 27.164540555281388
1.0: 0.7391101717948914: 28.61685918708419
1.0: 0.6696269512176514: 43.629404279299365
1.0: 0.7823236584663391: 30.25485013903769
1.0: 0.24358253180980682: 24.306299295086163
1.0: 0.32662078738212585: 12.763407235522864
1.0: 0.5366502404212952: 33.67491976547125
1.0: 0.10316026210784912: 7.191117663473016
1.0: 0.22944022715091705: 8.384695459589198
1.0: 0.5256801247596741: 1.1652313440194224
1.0: 0.5447824597358704: 18.39271949900264
1.0: 0.14243444800376892: 9.31410931683866
1.0: 0.9204714298248291: 69.83224498030968
1.0: 0.3038981556892395: 48.396749070203036
1.0: 0.48940160870552063: 14.912817813511827
1.0: 0.9110942482948303: 21.672289987914716
