Folder 0
0.0: 0.1774013340473175: 8.895285729775967
0.0: 0.19470307230949402: 28.099660384118362
0.0: 0.07260844111442566: 17.761867439598028
0.0: 0.016838865354657173: 9.163624669500996
0.0: 0.12136554718017578: 13.930837216657725
0.0: 0.04740046709775925: 12.579714554058226
0.0: 0.18929079174995422: 32.342331839875634
0.0: 0.21794158220291138: 23.019498242118306
0.0: 0.13375884294509888: 18.362871539160054
0.0: 0.13910703361034393: 22.478006388281226
0.0: 0.010176893323659897: 22.360729547389283
0.0: 0.2734107971191406: 44.27702399567564
0.0: 0.3327256143093109: 9.67755268380418
0.0: 0.08845154941082001: 48.68097291412703
0.0: 0.44375839829444885: 9.166787108311773
0.0: 0.4330148696899414: 24.61465475753917
0.0: 0.34059321880340576: 5.755622584592869
0.0: 0.26378190517425537: 31.29067323308199
0.0: 0.08034613728523254: 30.23130261046753
0.0: 0.20819157361984253: 20.58286670538439
0.0: 0.07823047041893005: 45.8879922270162
0.0: 0.05501475930213928: 25.250234878791147
0.0: 0.18222196400165558: 24.15501927543484
0.0: 0.051487572491168976: 34.94326142181393
0.0: 0.2926476299762726: 36.412648184347326
0.0: 0.29898837208747864: 25.96638968066573
0.0: 0.45096567273139954: 47.431219290735825
0.0: 0.15429291129112244: 13.581245885386027
0.0: 0.03302834555506706: 24.448693824793352
0.0: 0.12938906252384186: 34.67776721741773
0.0: 0.3558732867240906: 11.7822601484267
0.0: 0.01017635129392147: 35.77076924078252
0.0: 0.19321689009666443: 8.888869798117899
0.0: 0.347829669713974: 25.539676321375733
0.0: 0.031838852912187576: 26.50338154586092
0.0: 0.1301683485507965: 32.33627068237453
0.0: 0.345843642950058: 13.245567754465899
0.0: 0.014666520990431309: 31.71290599440775
0.0: 0.04050755128264427: 8.155925511429537
0.0: 0.027436455711722374: 8.609587653453907
0.0: 0.20239931344985962: 27.164540555281388
0.0: 0.08348111808300018: 28.61685918708419
0.0: 0.08905360847711563: 43.629404279299365
0.0: 0.020838048309087753: 30.25485013903769
0.0: 0.3643627166748047: 24.306299295086163
0.0: 0.7825940251350403: 12.763407235522864
0.0: 0.27117428183555603: 33.67491976547125
0.0: 0.19818568229675293: 7.191117663473016
0.0: 0.28135108947753906: 8.384695459589198
0.0: 0.06802665442228317: 1.1652313440194224
0.0: 0.04008031636476517: 18.39271949900264
0.0: 0.025070009753108025: 9.31410931683866
0.0: 0.08971252292394638: 69.83224498030968
0.0: 0.21170179545879364: 48.396749070203036
0.0: 0.0855211615562439: 14.912817813511827
0.0: 0.2686518430709839: 21.672289987914716
0.0: 0.16273033618927002: 10.63760802375595
0.0: 0.08087307959794998: 12.927558132412155
0.0: 0.15931092202663422: 14.149266417843027
0.0: 0.3250226378440857: 16.14041176576821
0.0: 0.06222454831004143: 8.878812653691893
0.0: 0.006923520006239414: 18.5033836736721
0.0: 0.051175396889448166: 40.63892670945251
0.0: 0.051721539348363876: 13.598414979701033
0.0: 0.1400820016860962: 18.17731284908557
0.0: 0.026243621483445168: 63.982961793607615
0.0: 0.2740401327610016: 13.127339720925205
0.0: 0.08988925814628601: 8.315588863566555
0.0: 0.03183078393340111: 31.932883927486955
0.0: 0.1587924063205719: 18.57793149560468
0.0: 0.3666941821575165: 7.865477564334045
0.0: 0.05480337515473366: 32.81695847196552
0.0: 0.02436637692153454: 8.35096514524706
0.0: 0.03406311944127083: 37.062493315305375
0.0: 0.2541840076446533: 16.70425703853298
0.0: 0.07243755459785461: 38.83691003247828
0.0: 0.06195078417658806: 29.382358052723784
0.0: 0.054545141756534576: 53.292238263199216
0.0: 0.10876273363828659: 22.5949643403168
0.0: 0.3564714193344116: 25.53235563623085
0.0: 0.32650020718574524: 17.292178483100162
0.0: 0.10457287728786469: 9.107232499145988
0.0: 0.06796204298734665: 20.190095701808364
0.0: 0.0863519161939621: 14.996760026756046
0.0: 0.2449658364057541: 29.374364877269567
0.0: 0.2620660960674286: 6.598530566013702
0.0: 0.02687319926917553: 10.865442288517132
0.0: 0.2010863870382309: 33.75866350924835
0.0: 0.09588716179132462: 14.563785890863814
0.0: 0.2279532104730606: 24.78571952803739
0.0: 0.06306146830320358: 19.41550178255399
0.0: 0.08955004066228867: 22.858087717661448
0.0: 0.07069394737482071: 22.237436971040587
0.0: 0.038556408137083054: 31.744428779392425
0.0: 0.11117637902498245: 6.3688837431459175
0.0: 0.02212076634168625: 32.996746314007005
0.0: 0.08558917045593262: 16.784061339417757
0.0: 0.009833555668592453: 17.031805157493206
0.0: 0.6995213627815247: 26.87379923167996
0.0: 0.05266628786921501: 12.01094582490117
1.0: 0.17915236949920654: 8.895285729775967
1.0: 0.7812216281890869: 28.099660384118362
1.0: 0.25792139768600464: 17.761867439598028
1.0: 0.014607459306716919: 9.163624669500996
1.0: 0.041634589433670044: 13.930837216657725
1.0: 0.4824383854866028: 12.579714554058226
1.0: 0.23527440428733826: 32.342331839875634
1.0: 0.2163902372121811: 23.019498242118306
1.0: 0.0004039934719912708: 18.362871539160054
1.0: 0.004776117391884327: 22.478006388281226
1.0: 0.6408624649047852: 22.360729547389283
1.0: 0.00382249872200191: 44.27702399567564
1.0: 0.3922877013683319: 9.67755268380418
1.0: 0.9793761968612671: 48.68097291412703
1.0: 0.13649313151836395: 9.166787108311773
1.0: 0.1373821645975113: 24.61465475753917
1.0: 0.019332075491547585: 5.755622584592869
1.0: 0.012063833884894848: 31.29067323308199
1.0: 0.09629906713962555: 30.23130261046753
1.0: 0.14972229301929474: 20.58286670538439
1.0: 0.9984591007232666: 45.8879922270162
1.0: 0.03268403187394142: 25.250234878791147
1.0: 0.35092684626579285: 24.15501927543484
1.0: 0.9929962754249573: 34.94326142181393
1.0: 0.167724147439003: 36.412648184347326
1.0: 0.034040339291095734: 25.96638968066573
1.0: 0.5412289500236511: 47.431219290735825
1.0: 0.25399044156074524: 13.581245885386027
1.0: 0.028181402012705803: 24.448693824793352
1.0: 0.0039233919233083725: 34.67776721741773
1.0: 0.08106095343828201: 11.7822601484267
1.0: 0.9991784691810608: 35.77076924078252
1.0: 0.0006471826345659792: 8.888869798117899
1.0: 0.01440225075930357: 25.539676321375733
1.0: 0.06136513501405716: 26.50338154586092
1.0: 0.9327923059463501: 32.33627068237453
1.0: 0.20175215601921082: 13.245567754465899
1.0: 0.2104073166847229: 31.71290599440775
1.0: 0.3663734495639801: 8.155925511429537
1.0: 0.04016103968024254: 8.609587653453907
1.0: 0.10165461897850037: 27.164540555281388
1.0: 0.11789359897375107: 28.61685918708419
1.0: 0.02196992002427578: 43.629404279299365
1.0: 0.03157905116677284: 30.25485013903769
1.0: 0.034620847553014755: 24.306299295086163
1.0: 0.007452117279171944: 12.763407235522864
1.0: 0.04055344685912132: 33.67491976547125
1.0: 0.007487169001251459: 7.191117663473016
1.0: 0.055155836045742035: 8.384695459589198
1.0: 0.6803522109985352: 1.1652313440194224
1.0: 0.03960634022951126: 18.39271949900264
1.0: 0.1279274970293045: 9.31410931683866
1.0: 0.9996069073677063: 69.83224498030968
1.0: 0.009142797440290451: 48.396749070203036
1.0: 0.25956016778945923: 14.912817813511827
1.0: 0.2811640501022339: 21.672289987914716
1.0: 0.017138175666332245: 10.63760802375595
1.0: 0.44242388010025024: 12.927558132412155
1.0: 0.09498919546604156: 14.149266417843027
1.0: 0.14504122734069824: 16.14041176576821
1.0: 0.5419354438781738: 8.878812653691893
1.0: 0.06914939731359482: 18.5033836736721
1.0: 0.23428697884082794: 40.63892670945251
1.0: 0.10418183356523514: 13.598414979701033
1.0: 0.018145043402910233: 18.17731284908557
1.0: 0.9996546506881714: 63.982961793607615
1.0: 0.5019791126251221: 13.127339720925205
1.0: 0.2733553349971771: 8.315588863566555
1.0: 0.046670448035001755: 31.932883927486955
1.0: 0.2536444067955017: 18.57793149560468
1.0: 0.21742811799049377: 7.865477564334045
1.0: 0.26422372460365295: 32.81695847196552
1.0: 0.2072344422340393: 8.35096514524706
1.0: 0.0034721435513347387: 37.062493315305375
1.0: 0.06060180068016052: 16.70425703853298
1.0: 0.367077499628067: 38.83691003247828
1.0: 0.0102693485096097: 29.382358052723784
1.0: 0.0018996477592736483: 53.292238263199216
1.0: 0.05153404548764229: 22.5949643403168
1.0: 0.0471627451479435: 25.53235563623085
1.0: 0.26992565393447876: 17.292178483100162
1.0: 0.056991804391145706: 9.107232499145988
1.0: 0.08679129928350449: 20.190095701808364
1.0: 0.02915581688284874: 14.996760026756046
1.0: 0.10481224954128265: 29.374364877269567
1.0: 0.3378850221633911: 6.598530566013702
1.0: 0.000203907213290222: 10.865442288517132
1.0: 0.1645922213792801: 33.75866350924835
1.0: 0.17211414873600006: 14.563785890863814
1.0: 0.0025647212751209736: 24.78571952803739
1.0: 0.047331683337688446: 19.41550178255399
